,address_full,lat,lon,bike_score,transit_score,walk_score
371,1536 Dian St. #C Houston 77008,,,,,
372,1539 Malone Houston 77007,29.7689063,-95.419331,63,43,79
373,1540 Lawrence Street Houston 77008,29.813772,-95.408224,66,42,57
374,1543 Dorothy St Houston 77008,29.7878615,-95.4088648814815,70,40,74
375,1545 Birdsall  A Houston 77007,29.768901,-95.420167,63,43,79
376,1545 Birdsall St  B Houston 77007,,,,,
377,155 Deerfield St Houston 77022,29.8320322,-95.3759262,62,63,69
378,155 Deerfield St Houston 77022,29.8320322,-95.3759262,62,63,69
379,155 Deerfield St Houston 77022,29.8320322,-95.3759262,62,63,69
380,1559 Sue Barnett Dr Houston 77018,29.819867,-95.413223,77,44,51
381,1602 Bonner East  A Houston 77007,,,,,
382,1602 Elgin St #16 Houston 77004,,,,,
383,1602 Elgin St #18 Houston 77004,,,,,
384,1602 Hamblen St Houston 77009,29.806809,-95.354482,55,48,48
385,1603 Viking Dr Houston 77018,29.835483,-95.445968,48,36,35
386,1604 Sabine St Houston 77007,29.7609681,-95.3753195,76,87,73
387,1605 Sandman St Houston 77007,29.779193,-95.411695,58,,76
388,1606 Lehman Houston 77018,29.8388825,-95.436108,42,40,32
389,1607 Shearn Houston 77007,29.7744525,-95.3758975,76,56,70
390,1607 W 15th Houston 77008,,,,,
391,1610 Chestnut St Houston 77009,29.778127,-95.359818,68,67,75
392,1610 Ovid Street Houston 77007,29.7759304,-95.3736265,78,62,68
393,1610 Ovid Houston 77007,29.7759304,-95.3736265,78,62,68
394,1610 Ovid Houston 77007,29.7759304,-95.3736265,78,62,68
395,1612 W 13th St Houston 77008,29.794254,-95.405789,68,42,63
396,1612D Edwards St Houston 77007,29.7707791,-95.3722242,76,75,70
397,1613 Pannell St Houston 77020,29.775095,-95.331879,61,51,65
398,1614 Hickory St Houston 77007,29.7737414,-95.3712105,76,70,69
399,1615 Houston Ave Houston 77007,29.76798,-95.372321,83,70,82
400,1615 W 23rd St Houston 77008,29.8066926,-95.4224409,66,38,67
401,1618 Fulton St Houston 77009,29.8105075,-95.3698173,48,57,42
402,1618 W 13th St Houston 77008,29.794254,-95.405789,68,42,63
403,1620 Knox St Houston 77007,29.761265,-95.4209414,52,41,60
404,1620 McDonald Houston 77007,,,,,
405,1621 23rd  D Houston 77008,29.8072327,-95.3958314,66,45,72
406,1621 W 23rd St Houston 77008,29.8066926,-95.4224409,66,38,67
407,1622 Chantilly Ln Houston 77018,29.828882,-95.44152,43,37,45
408,1625A W 23rd St Houston 77008,29.8066926,-95.4224409,66,38,67
409,1626 Elgin St Houston 77004,29.7421785,-95.3779214,79,82,84
410,1626 W 24Th St Houston 77008,29.807757,-95.418138,58,41,54
411,1630 Woodcrest Dr Houston 77018,29.822843,-95.441242,59,40,47
412,1633 Cohn St Houston 77007,29.7700061,-95.4218366,62,44,72
413,1637 Cortlandt St Houston 77008,29.804023,-95.395552,68,45,77
414,1638 Walton St Houston 77009,29.812466,-95.376249,53,54,49
415,1639 Walton St Houston 77009,29.812466,-95.376249,53,54,49
416,1642 Dennis St Houston 77004,29.7303873,-95.3435653,61,62,63
417,1643 Althea Dr Houston 77018,29.825827,-95.43708,64,40,54
418,1702 Cheshire Ln Houston 77018,29.830018,-95.441151,50,37,51
419,1702 Ovid Houston 77007,29.7759304,-95.3736265,78,62,68
420,1705 Candlelight Ln Houston 77018,29.8364021,-95.4298315,49,41,53
421,1705 Chippendale Rd Houston 77018,29.8220926,-95.4296389,76,39,70
422,1706 W 15th St Houston 77008,29.797924,-95.407632,68,43,62
423,1707 Gano St Houston 77009,29.780449,-95.354652,63,63,72
424,1709 Chippendale Rd Houston 77018,29.8220926,-95.4296389,76,39,70
425,1709 Gano St Houston 77009,29.780449,-95.354652,63,63,72
426,1709 Gano St Houston 77009,29.780449,-95.354652,63,63,72
427,1710 Chippendale Rd Houston 77018,29.8220926,-95.4296389,76,39,70
428,1710 Stacy Falls Houston 77008,,,,,
429,1710 Stacy Fls Houston 77008,,,,,
430,1711 Aden Mist Dr Houston 77003,,,,,
431,1712 Aden Dr Houston 77003,,,,,
432,1712 W 13th St Houston 77008,29.794254,-95.405789,68,42,63
