,address_full,lat,lon,bike_score,transit_score,walk_score
1356,5019 Lillian St Houston 77007,29.7696089,-95.4172773,,,
1359,5025 Verdome Houston 77092,29.835844,-95.458105,,,
1362,5035 La Branch St Houston 77004,29.7521241,-95.3623996,,,
1366,505 Woodard St Houston 77009,29.8109271,-95.3611049,,,
1373,5101 De Milo Dr Houston 77092,29.83381,-95.474514,,,
1379,5112 Avenue H Houston 77011,29.74813,-95.3249,,,
1382,5116 Gibson Houston 77007,29.7668181,-95.408778,,,
1388,512 Woodard St Houston 77009,29.8109271,-95.3611049,,,
1389,5123 Elysian Street Houston 77009,29.775539,-95.350514,,,
1393,5127 Elysian Street Houston 77009,29.775539,-95.350514,,,
1394,5129 Elysian Street Houston 77009,29.775539,-95.350514,,,
1396,5138 Georgi Ln Houston 77092,29.829667,-95.466486,,,
1398,514 Westford St Houston 77022,29.824455,-95.365666,,,
1405,518 Northwood St Houston 77009,29.807452,-95.378636,,,
1408,5202 Lillian St Houston 77007,29.7696089,-95.4172773,,,
1421,5210 Larkin St Houston 77007,29.7791091,-95.4181843,,,
1422,5211 B Larkin St Houston 77007,29.7791091,-95.4181843,,,
1425,5212 Nett St Houston 77007,29.7719398,-95.4090697,,,
1432,5216 Gibson St Houston 77007,29.7668181,-95.408778,,,
1437,5222 Verdome Ln Houston 77092,29.835844,-95.458105,,,
1438,5222 W 43rd St Houston 77092,29.8323728,-95.4615076,,,
1445,5226A Maxie St Houston 77007,29.7740944,-95.4110015,,,
1446,5234 Saxon Houston 77092,29.825741,-95.478978,,,
1449,5237 Cornish St Houston 77007,29.778453,-95.41169,,,
1457,5304 Michaux Houston 77009,29.783506,-95.384257,,,
1464,531 Westford Houston 77022,29.824455,-95.365666,,,
1469,5315 Lillian St Houston 77007,29.7696089,-95.4172773,,,
1471,5317 SW Palmer Houston 77004,29.7285771,-95.3610685,,,
1472,5318 Saxon Dr Houston 77092,29.825741,-95.478978,,,
1473,5318 Viking Dr Houston 77092,29.835005,-95.458833,,,
1476,5319 Lamonte Houston 77092,29.824391,-95.46604,,,
1489,5402 Poinciana Dr Houston 77092,29.825252,-95.467678,,,
1494,5406 Inker St Houston 77007,29.7754883,-95.4158591,,,
1510,5425 Larkin Houston 77007,29.7791091,-95.4181843,,,
1511,5427 Hialeah Dr Houston 77092,29.826566,-95.472057,,,
1512,5428 Cornish Street Houston 77007,29.778453,-95.41169,,,
1518,5445 Kansas Houston 77007,29.7820257,-95.4183705,,,
1526,5511 cheshire ln Houston 77092,29.829621,-95.474953,,,
1527,5511 De Lange Ln Houston 77092,29.836695,-95.458783,,,
1529,5514 Darling St Houston 77007,29.7797767,-95.4243294,,,
1535,5527 Chantilly Ln Houston 77092,29.828091,-95.468366,,,
1537,5530 Kiam St Houston 77007,29.781321,-95.415938,,,
1540,5603 Chantilly Ln Houston 77092,29.828091,-95.468366,,,
1541,5607 Chantilly Lane Houston 77092,29.828091,-95.468366,,,
1542,5611 Chantilly Ln Houston 77092,29.828091,-95.468366,,,
1552,5626 Petty St Houston 77007,29.780593,-95.415933,,,
1555,5650 Darling St Houston 77007,29.7797767,-95.4243294,,,
1561,5714 De Lange Ln Houston 77092,29.836695,-95.458783,,,
1566,5723 Chantilly Ln Houston 77092,29.828091,-95.468366,,,
1594,5817 Downing St Houston 77020,29.785501,-95.314311,,,
1604,5904 Center St Houston 77007,29.7699659,-95.3931667,,,
1605,5910 Hewitt Houston 77092,29.830439,-95.475952,,,
1621,6014 Stilson Branch Ln Houston 77092,29.8373008,-95.4823777,,,
1622,6015 Hoover Houston 77092,29.8390264,-95.4730926,,,
1629,604 Merrill St Houston 77009,29.788889,-95.380781,,,
1630,605 Cottage Houston 77009,29.7922172,-95.3719609,,,
1643,607 Leverkuhn Houston 77007,29.7686094,-95.40087,,,
1654,6110 Stilson Branch Ln Houston 77092,29.8373008,-95.4823777,,,
1655,6114 Spruce Forest Dr Houston 77092,29.844471,-95.475804,,,
1662,613 Aurora St Houston 77008,29.809797,-95.3912686,,,
1667,615 Nagle Houston 77003,29.742485,-95.35374,,,
1671,620 Asbury St Houston 77007,29.7689188,-95.4184893,,,
1673,620 Graceland St Houston 77009,29.8085851,-95.3695923,,,
